sequence,cycle,channel,rank,pim_block,key,tap_index,tap_count,partial_hex,final_hex
74,26540,9,0,2,19808431112192,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
75,26540,9,0,3,19817021046784,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
76,26540,9,0,4,19825610981376,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
77,26540,9,0,5,19834200915968,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
78,26540,9,0,6,19842790850560,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
79,26540,9,0,7,19851380785152,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
80,26540,10,0,0,21990274498560,1,3,0000000000000000000000000000000000000000000000000000000000000000,4400440044004400440044004400440044004400440044004400440044004400
81,26540,10,0,1,21998864433152,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
82,26540,10,0,2,22007454367744,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
83,26540,10,0,3,22016044302336,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
84,26540,10,0,4,22024634236928,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
85,26540,10,0,5,22033224171520,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
86,26540,10,0,6,22041814106112,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
87,26540,10,0,7,22050404040704,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
88,26540,11,0,0,24189297754112,1,3,0000000000000000000000000000000000000000000000000000000000000000,4400440044004400440044004400440044004400440044004400440044004400
89,26540,11,0,1,24197887688704,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
90,26540,11,0,2,24206477623296,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
91,26540,11,0,3,24215067557888,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
92,26540,11,0,4,24223657492480,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
93,26540,11,0,5,24232247427072,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
94,26540,11,0,6,24240837361664,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
95,26540,11,0,7,24249427296256,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
96,26540,12,0,0,26388321009664,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
97,26540,12,0,1,26396910944256,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
98,26540,12,0,2,26405500878848,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
99,26540,12,0,3,26414090813440,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
100,26540,12,0,4,26422680748032,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
101,26540,12,0,5,26431270682624,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
102,26540,12,0,6,26439860617216,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
103,26540,12,0,7,26448450551808,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
104,26540,13,0,0,28587344265216,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
105,26540,13,0,1,28595934199808,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
106,26540,13,0,2,28604524134400,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
107,26540,13,0,3,28613114068992,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
108,26540,13,0,4,28621704003584,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
109,26540,13,0,5,28630293938176,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
110,26540,13,0,6,28638883872768,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
111,26540,13,0,7,28647473807360,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
112,26540,14,0,0,30786367520768,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
113,26540,14,0,1,30794957455360,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
114,26540,14,0,2,30803547389952,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
115,26540,14,0,3,30812137324544,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
116,26540,14,0,4,30820727259136,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
117,26540,14,0,5,30829317193728,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
118,26540,14,0,6,30837907128320,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
119,26540,14,0,7,30846497062912,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
120,26540,15,0,0,32985390776320,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
121,26540,15,0,1,32993980710912,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
122,26540,15,0,2,33002570645504,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
123,26540,15,0,3,33011160580096,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
124,26540,15,0,4,33019750514688,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
125,26540,15,0,5,33028340449280,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
126,26540,15,0,6,33036930383872,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
127,26540,15,0,7,33045520318464,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
128,26540,16,0,0,35184414031872,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
129,26540,16,0,1,35193003966464,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
130,26540,16,0,2,35201593901056,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
131,26540,16,0,3,35210183835648,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
132,26540,16,0,4,35218773770240,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
133,26540,16,0,5,35227363704832,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
134,26540,16,0,6,35235953639424,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
135,26540,16,0,7,35244543574016,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
136,26540,17,0,0,37383437287424,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
137,26540,17,0,1,37392027222016,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
138,26540,17,0,2,37400617156608,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
139,26540,17,0,3,37409207091200,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
140,26540,17,0,4,37417797025792,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
141,26540,17,0,5,37426386960384,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
142,26540,17,0,6,37434976894976,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
143,26540,17,0,7,37443566829568,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
144,26540,18,0,0,39582460542976,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
145,26540,18,0,1,39591050477568,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
146,26540,18,0,2,39599640412160,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
147,26540,18,0,3,39608230346752,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
148,26540,18,0,4,39616820281344,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
149,26540,18,0,5,39625410215936,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
150,26540,18,0,6,39634000150528,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
151,26540,18,0,7,39642590085120,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
152,26540,19,0,0,41781483798528,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
153,26540,19,0,1,41790073733120,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
154,26540,19,0,2,41798663667712,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
155,26540,19,0,3,41807253602304,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
156,26540,19,0,4,41815843536896,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
157,26540,19,0,5,41824433471488,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
158,26540,19,0,6,41833023406080,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
159,26540,19,0,7,41841613340672,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
160,26540,20,0,0,43980507054080,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
161,26540,20,0,1,43989096988672,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
162,26540,20,0,2,43997686923264,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
163,26540,20,0,3,44006276857856,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
164,26540,20,0,4,44014866792448,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
165,26540,20,0,5,44023456727040,1,3,4000400040004000400040004000400040004000400040004000400040004000,4600460046004600460046004600460046004600460046004600460046004600
166,26540,20,0,6,44032046661632,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
167,26540,20,0,7,44040636596224,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
168,26540,21,0,0,46179530309632,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
169,26540,21,0,1,46188120244224,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
170,26540,21,0,2,46196710178816,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
171,26540,21,0,3,46205300113408,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
172,26540,21,0,4,46213890048000,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
173,26540,21,0,5,46222479982592,1,3,4000400040004000400040004000400040004000400040004000400040004000,4600460046004600460046004600460046004600460046004600460046004600
174,26540,21,0,6,46231069917184,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
175,26540,21,0,7,46239659851776,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
176,26540,22,0,0,48378553565184,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
177,26540,22,0,1,48387143499776,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
178,26540,22,0,2,48395733434368,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
179,26540,22,0,3,48404323368960,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
180,26540,22,0,4,48412913303552,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
181,26540,22,0,5,48421503238144,1,3,4000400040004000400040004000400040004000400040004000400040004000,4600460046004600460046004600460046004600460046004600460046004600
182,26540,22,0,6,48430093172736,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
183,26540,22,0,7,48438683107328,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
184,26540,23,0,0,50577576820736,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
185,26540,23,0,1,50586166755328,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
186,26540,23,0,2,50594756689920,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
187,26540,23,0,3,50603346624512,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
188,26540,23,0,4,50611936559104,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
189,26540,23,0,5,50620526493696,1,3,4000400040004000400040004000400040004000400040004000400040004000,4600460046004600460046004600460046004600460046004600460046004600
190,26540,23,0,6,50629116428288,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
191,26540,23,0,7,50637706362880,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
192,26540,24,0,0,52776600076288,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
193,26540,24,0,1,52785190010880,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
194,26540,24,0,2,52793779945472,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
195,26540,24,0,3,52802369880064,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
196,26540,24,0,4,52810959814656,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
197,26540,24,0,5,52819549749248,1,3,4000400040004000400040004000400040004000400040004000400040004000,4600460046004600460046004600460046004600460046004600460046004600
198,26540,24,0,6,52828139683840,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
199,26540,24,0,7,52836729618432,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
200,26540,25,0,0,54975623331840,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
201,26540,25,0,1,54984213266432,1,3,0000000000000000000000000000000000000000000000000000000000000000,4600460046004600460046004600460046004600460046004600460046004600
202,26540,25,0,2,54992803201024,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
203,26540,25,0,3,55001393135616,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
204,26540,25,0,4,55009983070208,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
205,26540,25,0,5,55018573004800,1,3,4000400040004000400040004000400040004000400040004000400040004000,4600460046004600460046004600460046004600460046004600460046004600
206,26540,25,0,6,55027162939392,1,3,4200420042004200420042004200420042004200420042004200420042004200,4880488048804880488048804880488048804880488048804880488048804880
